id_votante,id_centro
1,20
27,20
36,20
42,20
43,20
59,20
86,20
113,20
117,20
126,20
130,20
212,20
275,20
313,20
322,20
324,20
326,20
396,20
405,20
433,20
437,20
493,20
512,20
594,20
666,20
671,20
684,20
700,20
762,20
844,20
887,20
894,20
911,20
923,20
944,20
946,20
955,20
960,20
988,20
989,20
1010,20
1038,20
1045,20
1126,20
124,20
328,20
342,20
344,20
369,20
378,20
462,20
608,20
638,20
722,20
772,20
802,20
827,20
888,20
999,20
1056,20
1105,20
568,20
259,20
727,20
1072,20
602,20
939,20
3,14
73,14
97,14
108,14
110,14
131,14
132,14
138,14
153,14
183,14
193,14
198,14
199,14
203,14
238,14
294,14
333,14
345,14
354,14
391,14
453,14
456,14
469,14
474,14
478,14
479,14
497,14
501,14
506,14
518,14
528,14
531,14
548,14
563,14
569,14
584,14
601,14
646,14
648,14
655,14
674,14
701,14
705,14
713,14
717,14
759,14
770,14
810,14
840,14
851,14
890,14
915,14
931,14
940,14
950,14
961,14
969,14
973,14
977,14
979,14
982,14
987,14
992,14
993,14
998,14
1001,14
1004,14
1021,14
1022,14
1025,14
1031,14
1037,14
1042,14
1047,14
1049,14
1059,14
1062,14
1063,14
1068,14
1082,14
1084,14
1093,14
1095,14
1096,14
1101,14
1112,14
1121,14
2,14
206,14
591,14
880,14
986,14
1036,14
5,1
17,1
18,1
24,1
32,1
45,1
48,1
54,1
62,1
66,1
75,1
87,1
95,1
99,1
100,1
105,1
109,1
119,1
127,1
128,1
129,1
144,1
147,1
148,1
152,1
154,1
155,1
162,1
167,1
170,1
173,1
175,1
176,1
179,1
186,1
189,1
192,1
195,1
197,1
204,1
209,1
232,1
240,1
241,1
242,1
245,1
246,1
247,1
254,1
267,1
274,1
279,1
281,1
289,1
293,1
305,1
319,1
320,1
321,1
329,1
337,1
346,1
355,1
358,1
361,1
366,1
367,1
368,1
372,1
373,1
374,1
377,1
380,1
387,1
398,1
399,1
400,1
403,1
413,1
415,1
428,1
445,1
447,1
6,9
14,9
15,9
25,9
30,9
31,9
35,9
38,9
44,9
46,9
47,9
49,9
50,9
52,9
53,9
61,9
64,9
65,9
68,9
74,9
80,9
85,9
88,9
92,9
93,9
94,9
96,9
102,9
116,9
125,9
137,9
139,9
143,9
149,9
150,9
160,9
161,9
166,9
169,9
178,9
190,9
194,9
202,9
205,9
211,9
221,9
222,9
224,9
227,9
228,9
235,9
243,9
244,9
253,9
258,9
260,9
266,9
272,9
276,9
277,9
284,9
295,9
308,9
314,9
315,9
327,9
334,9
335,9
336,9
339,9
340,9
343,9
347,9
350,9
353,9
357,9
359,9
362,9
364,9
379,9
390,9
393,9
394,9
402,9
408,9
409,9
411,9
414,9
418,9
420,9
425,9
426,9
429,9
430,9
436,9
442,9
444,9
446,9
448,9
452,9
457,9
459,9
470,9
476,9
477,9
483,9
487,9
489,9
490,9
499,9
505,9
526,9
540,9
541,9
545,9
547,9
549,9
560,9
562,9
564,9
566,9
575,9
580,9
581,9
582,9
586,9
587,9
589,9
597,9
598,9
599,9
604,9
605,9
606,9
612,9
613,9
622,9
626,9
627,9
631,9
633,9
636,9
639,9
644,9
653,9
654,9
656,9
663,9
675,9
681,9
685,9
687,9
688,9
690,9
691,9
694,9
695,9
697,9
698,9
702,9
703,9
711,9
715,9
718,9
719,9
724,9
726,9
729,9
731,9
733,9
734,9
741,9
753,9
766,9
777,9
779,9
780,9
782,9
786,9
787,9
789,9
790,9
791,9
797,9
800,9
801,9
806,9
812,9
818,9
819,9
822,9
823,9
829,9
830,9
831,9
833,9
842,9
845,9
848,9
850,9
852,9
854,9
855,9
860,9
872,9
875,9
877,9
885,9
892,9
903,9
904,9
905,9
913,9
920,9
921,9
922,9
925,9
927,9
936,9
937,9
949,9
952,9
953,9
954,9
956,9
962,9
965,9
968,9
978,9
980,9
984,9
990,9
994,9
995,9
1002,9
1003,9
1006,9
1007,9
1009,9
1012,9
1017,9
1024,9
1029,9
1030,9
1032,9
1034,9
1039,9
1040,9
1043,9
1052,9
1057,9
1058,9
1064,9
1065,9
1066,9
1071,9
1073,9
1074,9
1076,9
1080,9
1085,9
1086,9
1087,9
1088,9
1089,9
1090,9
1098,9
1100,9
